inventory_id,prod_id,qty,color,size,weight,retail,cost_price
710,180,0,Oatmeal,Medium,0,0,0
715,181,0,Bike,Small,0,0,0
661,169,0,"",small,0,0,0
676,174,0,"",small,0,0,0
647,165,0,"",medium,1,0,0
660,168,0,"",large,1,0,0
642,163,0,"",large,0,0,0
702,179,0,Yoga,Large,0,0,0
739,184,0,"",3XL,0,0,0
731,183,0,Grey,Medium,0,0,0
730,183,0,Grey,Small,0,0,0
726,183,0,Blue,Large,0,0,0
21221,2935,0,"",small,0,0,0
736,184,0,"",XL,0,0,0
737,184,0,"",1XL,0,0,0
733,184,0,"",small,0,0,0
698,179,0,Coffee,Medium,0,0,0
725,183,0,Blue,Medium,0,0,0
20454,2844,0,"",small,0,0,0
728,183,0,Black,Medium,0,0,0
724,183,0,Blue,Small,0,0,0
762,185,0,Khaki,2XL,0,0,0
789,189,0,"",medium,0,0,0
761,185,0,Khaki,XL,0,0,0
741,185,0,White,Medium,0,0,0
740,185,0,White,Small,0,0,0
818,197,0,"",small,0,0,0
743,185,0,White,XL,0,0,0
742,185,0,White,Large,0,0,0
763,185,0,Khaki,3XL,0,0,0
760,185,0,Khaki,Large,0,0,0
748,185,0,Denim,Large,0,0,0
747,185,0,Denim,Medium,0,0,0
798,191,0,oatmeal,medium,0,0,0
814,195,0,"",large,0,0,0
751,185,0,Denim,3XL,0,0,0
750,185,0,Denim,2XL,0,0,0
756,185,0,Black,2XL,0,0,0
769,147,0,Green,Large,1,0,0
819,197,0,"",medium,0,0,0
755,185,0,Black,XL,0,0,0
754,185,0,Black,Large,0,0,0
759,185,0,Khaki,Medium,0,0,0
749,185,0,Denim,XL,0,0,0
792,190,0,"",medium,1,0,0
806,193,0,"",small,0,0,0
746,185,0,Denim,Small,0,0,0
808,193,0,"",large,0,0,0
787,188,0,Grey,Large,0,0,0
801,191,0,grey,medium,0,0,0
765,147,0,Blue,Medium,1,0,0
764,147,0,Blue,Small,0,0,0
812,195,0,"",small,0,0,0
822,198,0,pink,medium,0,0,0
766,147,0,Blue,Large,1,0,0
772,147,0,Taupe,Large,1,0,0
774,186,0,"",Medium,0,0,0
758,185,0,Khaki,Small,0,0,0
21222,2935,0,"",medium,0,0,0
816,196,0,"",medium,0,0,0
838,200,0,blue,large,0,0,0
829,199,0,"",large,0,0,0
745,185,0,White,3XL,0,0,0
785,188,0,Grey,Small,0,0,0
757,185,0,Black,3XL,0,0,0
775,186,0,"",Large,0,0,0
783,188,0,Blue,Medium,0,0,0
771,147,0,Taupe,Medium,1,0,0
767,147,0,Green,Small,0,0,0
807,193,0,"",medium,0,0,0
784,188,0,Blue,Large,0,0,0
790,189,0,"",large,0,0,0
786,188,0,Grey,Medium,0,0,0
788,189,0,"",small,0,0,0
817,196,0,"",large,0,0,0
813,195,0,"",medium,0,0,0
20464,2845,0,"",2XL,2,0,1.5
799,191,0,oatmeal,large,0,0,0
800,191,0,grey,small,0,0,0
815,196,0,"",small,0,0,0
803,192,0,"",small,0,0,0
828,199,0,"",medium,0,0,0
797,191,0,oatmeal,small,0,0,0
744,185,0,White,2XL,0,0,0
802,191,0,grey,large,0,0,0
768,147,0,Green,Medium,1,0,0
791,190,0,"",small,0,0,0
809,194,0,"",small,0,0,0
810,194,0,"",medium,0,0,0
811,194,0,"",large,0,0,0
770,147,0,Taupe,Small,0,0,0
821,198,0,pink,small,0,0,0
840,201,0,"",medium,0,0,0
826,198,0,green,large,0,0,0
823,198,0,pink,large,0,0,0
820,197,0,"",large,0,0,0
824,198,0,green,small,0,0,0
773,186,0,"",Small,0,0,0
793,190,0,"",large,1,0,0
825,198,0,green,medium,0,0,0
804,192,0,"",medium,0,0,0
836,200,0,blue,small,0,0,0
20460,2845,0,"",small,0,0,0
20461,2845,0,"",medium,0,0,0
782,188,0,Blue,Small,0,0,0
753,185,0,Black,Medium,0,0,0
752,185,0,Black,Small,0,0,0
827,199,0,"",small,0,0,0
20462,2845,0,"",large,0,0,0
837,200,0,blue,medium,0,0,0
805,192,0,"",large,0,0,0
20465,2845,0,"",3XL,2,0,1.5
835,200,0,pink,large,0,0,0
834,200,0,pink,medium,0,0,0
833,200,0,pink,small,0,0,0
